,description,title,salary,company,location,class,days_before
447,The UTS Data Science Institute invites applications for TWO 3.5 years fully funded PhD Research Studentships,PhD Studentships in Automated and Transparent Machine Learning,NA,University of Technology Sydney,Sydney NSW,Education & Training,15h ago
448,"Join our quantitative trading team and build models for high frequency asset price prediction, analyse the resulting trades for price prediction.",Machine Learning Data Scientist,NA,Susquehanna Pacific Pty Ltd,Sydney NSW,Science & Technology,8d ago
449,Work with a leading business to continue to build out their Machine Learning practice as they capitalise on a massive period of growth.,Machine Learning Engineer,$150 - $160k + super + benefits,TheDriveGroup,Sydney NSW,Information & Communication Technology,5d ago
450,Looking for exceptional Machine Learning Engineers for an ecommerce Tech company - Sydney base,Machine Learning Engineer,$220k - $270k inc. Super (Excluding Equity),Charterhouse,Sydney NSW,Information & Communication Technology,5d ago
451,"Join a fantastic team within a challenging environment, having access to cutting edge technology and continue career development and growth.",Machine Learning Engineer,Up to $900 incl super,Correlate Resources,Sydney NSW,Information & Communication Technology,13d ago
452,CPB Contractor's is seeking an enthusiastic Data Science to support the HR strategic and annual business plans at CPB!,Data Scientist,NA,CPB Contractors Pty Limited,North Sydney,Science & Technology,2d ago
453,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,NA,Correlate Resources,Sydney NSW,Science & Technology,8d ago
454,Senior Data Engineer/Machine Learning | Permanent Position | Sydney Based,Senior Data Engineer/Machine Learning,"$135,000 - $165,000 (Incl. Super)",PRA,Sydney NSW,Information & Communication Technology,2d ago
455,#4 Best Place to work in Australia. Large Public & Commercial Clients. WFH & Flexible working hours. Collaborative and motivating team culture.,Data Engineer,"$100,000-$120,000 + Super + 5% Bonus",AC3 Pty Limited,Sydney NSW,Information & Communication Technology,21h ago
456,Based in North Sydney. Designing large-scale experimentations on data across business silos. WFH opportunities.,Senior Data Scientist,NA,Laing O'Rourke Australia Construction Pty Limited,North Sydney,Information & Communication Technology,20h ago
457,Lead - Machine Learning - Impactful role with a global end-user.,Machine Learning Lead,"$180,000 - $200,000",Alloc8,Sydney NSW,Information & Communication Technology,16d ago
458,"Looking for a role where your input is valued,  good $$ and you get to build end-to-end data science solutions in Databricks & Azure?",Senior Data Scientist - Macquarie Park/WfH,Base + super  + 14% bonus,Talent Insights Group Pty Ltd,Macquarie Park,Science & Technology,2d ago
459,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",AI Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,22h ago
460,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,$110-$130 + Super + Bonus,Correlate Resources,Sydney NSW,Science & Technology,8d ago
461,"Liaise with critical internal & external stakeholders to provide insights, recommendations, and solutions to complex data problems.",Data Scientist - Life and Investments,NA,Zurich Financial Services Australia,North Shore & Northern Beaches,Information & Communication Technology,2d ago
462,The successful candidate will be responsible for improving the existing statistical & ML models as well as developing novel analytical solutions.,Data Scientist,NA,Bet Technology,Sydney NSW,Science & Technology,13d ago
463,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",Senior AI Systems Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,7d ago
464,"Data Engineer Data Platforms Sydney Based, Permanent Role",Data Engineer,NA,Westpac Group,Sydney NSW,Information & Communication Technology,2d ago
465,Be the ‘Good Engineer’ this medical devices company is looking to create the best data solutions and ETL pipelines out there.,Data Engineer,"$100,000 - $130,000",The Onset,Sydney NSW,Information & Communication Technology,16d ago
466,"Part of a mature team, the Machine Learning Engineer will be responsible for design, development and implementation of ML pipelines",Machine Learning Engineer,Attractive Salary Package + Benefits,Robert Walters,North Sydney,Information & Communication Technology,14d ago
467,Opportunity with a Nationally known brand - State of art technology - WFH ability,Machine Learning Engineer,NA,Intelligen Pty Ltd,Sydney NSW,Information & Communication Technology,21d ago
468,"Design, maintain and optimise Market Data Links crucial to the success of all Trading desks in a highly desirable High Frequency Trading Firm.",Data Engineer - Python (High Frequency Trading),"$180,000 - $300,000",Westbury Partners,Sydney NSW,Information & Communication Technology,2d ago
469,"Engineer- Big Data Technologies Data Platforms Sydney Based, Permanent Role",Engineer- Big Data Technologies,NA,Westpac Group,Sydney NSW,Information & Communication Technology,2d ago
470,ASIC is seeking a full time Senior Data Engineer to join their IT Team,Senior Data Engineer,NA,ASIC,Parliament House,Government & Defence,5d ago
471,Flexible working practices; opportunity to work fully remotely or from home or hybrid model. Growing Analytics and Data Science team.,Data Scientist,$140k - $150k p.a. + super,Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,14d ago
472,"Working to deliver the best client solutions. We enable you to succeed with access to top tech, amazing mentors and colleagues.",Data Engineer,NA,Versent Pty Ltd,Sydney NSW,Information & Communication Technology,6d ago
473,"Principle Data Scientist - Global Finance Company 
Provide technical leadership in the field of big data and data science while managing a DS team!",Principle Data Scientist,"$190,000.00 - $205,000.00 p.a. + incl super + bonus",Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,13d ago
474,Permanent opportunity with a data science company working in the health sector,Analytics Engineer,NA,NewyTechPeople,Sydney NSW,Information & Communication Technology,6d ago
475,Are you a Data Scientist with a passion for data science? Join our team of specialists at Catapult BI.,Data Scientist,NA,CatapultBI,Sydney NSW,Information & Communication Technology,12d ago
476,Join a tech-first and award-winning tech solution as a Senior Data Engineer to help architect and build a greenfield cloud data platform.,Senior Data Engineer,"$150,000 - $180,000 + Bonus",SustainAbility Consulting,Sydney NSW,Information & Communication Technology,13h ago
477,"High profile consulting firm;  banking and financial services clients
market leading bonus up to 25%, flexible hybrid working model, study support",Data Scientist,$120k - $130k p.a. + super + bonus + benefits,Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,14d ago
478,Work with an ever growing organization who are working with a wide range of customers delivering cutting edge solutions across Data & Engineering,Senior Data Engineer,"$180,000k - $200,000k p.a. + Super + Bonus",Precision Sourcing,Sydney NSW,Information & Communication Technology,17h ago
479,ASIC is seeking a full time Senior Data Engineer to join their IT Team,Senior Data Engineer,NA,ASIC,Parliament House,Information & Communication Technology,5d ago
480,Work with a leading business to continue to build out their Machine Learning practice as they capitalise on a massive period of growth.,Machine Learning Engineer,$150 - $160k + super + benefits,TheDriveGroup,Sydney NSW,Information & Communication Technology,5d ago
481,Looking for exceptional Machine Learning Engineers for an ecommerce Tech company - Sydney base,Machine Learning Engineer,$220k - $270k inc. Super (Excluding Equity),Charterhouse,Sydney NSW,Information & Communication Technology,5d ago
482,"Picture this… you, working on software that transforms images of the world into actionable insights. Cool right? Click for more.",Machine Learning Engineer,"$120,000 - $140,000 + Bonus",The Onset,Sydney NSW,Information & Communication Technology,21h ago
483,We have an opportunity for a Junior Machine Learning Engineer to join the team at our Sydney office.,Junior Machine Learning Engineer,NA,Stockland,Sydney NSW,Information & Communication Technology,6d ago
484,The UTS Data Science Institute invites applications for TWO 3.5 years fully funded PhD Research Studentships,PhD Studentships in Automated and Transparent Machine Learning,NA,University of Technology Sydney,Sydney NSW,Education & Training,15h ago
485,"Join our quantitative trading team and build models for high frequency asset price prediction, analyse the resulting trades for price prediction.",Machine Learning Data Scientist,NA,Susquehanna Pacific Pty Ltd,Sydney NSW,Science & Technology,8d ago
486,Senior Data Engineer/Machine Learning | Permanent Position | Sydney Based,Senior Data Engineer/Machine Learning,"$135,000 - $165,000 (Incl. Super)",PRA,Sydney NSW,Information & Communication Technology,2d ago
487,"Join a fantastic team within a challenging environment, having access to cutting edge technology and continue career development and growth.",Machine Learning Engineer,Up to $900 incl super,Correlate Resources,Sydney NSW,Information & Communication Technology,13d ago
488,CPB Contractor's is seeking an enthusiastic Data Science to support the HR strategic and annual business plans at CPB!,Data Scientist,NA,CPB Contractors Pty Limited,North Sydney,Science & Technology,2d ago
489,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",AI Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,22h ago
490,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,NA,Correlate Resources,Sydney NSW,Science & Technology,8d ago
491,#4 Best Place to work in Australia. Large Public & Commercial Clients. WFH & Flexible working hours. Collaborative and motivating team culture.,Data Engineer,"$100,000-$120,000 + Super + 5% Bonus",AC3 Pty Limited,Sydney NSW,Information & Communication Technology,21h ago
492,Based in North Sydney. Designing large-scale experimentations on data across business silos. WFH opportunities.,Senior Data Scientist,NA,Laing O'Rourke Australia Construction Pty Limited,North Sydney,Information & Communication Technology,20h ago
493,Lead - Machine Learning - Impactful role with a global end-user.,Machine Learning Lead,"$180,000 - $200,000",Alloc8,Sydney NSW,Information & Communication Technology,16d ago
494,"Looking for a role where your input is valued,  good $$ and you get to build end-to-end data science solutions in Databricks & Azure?",Senior Data Scientist - Macquarie Park/WfH,Base + super  + 14% bonus,Talent Insights Group Pty Ltd,Macquarie Park,Science & Technology,2d ago
495,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",Senior AI Systems Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,7d ago
496,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,$110-$130 + Super + Bonus,Correlate Resources,Sydney NSW,Science & Technology,8d ago
497,"Part of a mature team, the Machine Learning Engineer will be responsible for design, development and implementation of ML pipelines",Machine Learning Engineer,Attractive Salary Package + Benefits,Robert Walters,North Sydney,Information & Communication Technology,14d ago
498,"Liaise with critical internal & external stakeholders to provide insights, recommendations, and solutions to complex data problems.",Data Scientist - Life and Investments,NA,Zurich Financial Services Australia,North Shore & Northern Beaches,Information & Communication Technology,2d ago
499,Opportunity with a Nationally known brand - State of art technology - WFH ability,Machine Learning Engineer,NA,Intelligen Pty Ltd,Sydney NSW,Information & Communication Technology,21d ago
500,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",Senior AI Systems Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,7d ago
501,"Data Engineer Data Platforms Sydney Based, Permanent Role",Data Engineer,NA,Westpac Group,Sydney NSW,Information & Communication Technology,2d ago
502,"Part of a mature team, the Machine Learning Engineer will be responsible for design, development and implementation of ML pipelines",Machine Learning Engineer,Attractive Salary Package + Benefits,Robert Walters,North Sydney,Information & Communication Technology,14d ago
503,Opportunity with a Nationally known brand - State of art technology - WFH ability,Machine Learning Engineer,NA,Intelligen Pty Ltd,Sydney NSW,Information & Communication Technology,21d ago
504,"Design, maintain and optimise Market Data Links crucial to the success of all Trading desks in a highly desirable High Frequency Trading Firm.",Data Engineer - Python (High Frequency Trading),"$180,000 - $300,000",Westbury Partners,Sydney NSW,Information & Communication Technology,2d ago
505,"Engineer- Big Data Technologies Data Platforms Sydney Based, Permanent Role",Engineer- Big Data Technologies,NA,Westpac Group,Sydney NSW,Information & Communication Technology,2d ago
506,ASIC is seeking a full time Senior Data Engineer to join their IT Team,Senior Data Engineer,NA,ASIC,Parliament House,Government & Defence,5d ago
507,Flexible working practices; opportunity to work fully remotely or from home or hybrid model. Growing Analytics and Data Science team.,Data Scientist,$140k - $150k p.a. + super,Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,14d ago
508,Opportunity to deliver a large-scale data transformation for one of our major banking clients.,Principal Data Engineer - Data & Analytics,NA,The Argyle Network,Sydney NSW,Information & Communication Technology,6d ago
509,"Working to deliver the best client solutions. We enable you to succeed with access to top tech, amazing mentors and colleagues.",Data Engineer,NA,Versent Pty Ltd,Sydney NSW,Information & Communication Technology,6d ago
510,"Principle Data Scientist - Global Finance Company 
Provide technical leadership in the field of big data and data science while managing a DS team!",Principle Data Scientist,"$190,000.00 - $205,000.00 p.a. + incl super + bonus",Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,13d ago
511,Permanent opportunity with a data science company working in the health sector,Analytics Engineer,NA,NewyTechPeople,Sydney NSW,Information & Communication Technology,6d ago
512,Are you a Data Scientist with a passion for data science? Join our team of specialists at Catapult BI.,Data Scientist,NA,CatapultBI,Sydney NSW,Information & Communication Technology,12d ago
513,Join a tech-first and award-winning tech solution as a Senior Data Engineer to help architect and build a greenfield cloud data platform.,Senior Data Engineer,"$150,000 - $180,000 + Bonus",SustainAbility Consulting,Sydney NSW,Information & Communication Technology,13h ago
514,"High profile consulting firm;  banking and financial services clients
market leading bonus up to 25%, flexible hybrid working model, study support",Data Scientist,$120k - $130k p.a. + super + bonus + benefits,Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,14d ago
515,Work with an ever growing organization who are working with a wide range of customers delivering cutting edge solutions across Data & Engineering,Senior Data Engineer,"$180,000k - $200,000k p.a. + Super + Bonus",Precision Sourcing,Sydney NSW,Information & Communication Technology,17h ago
516,ASIC is seeking a full time Senior Data Engineer to join their IT Team,Senior Data Engineer,NA,ASIC,Parliament House,Information & Communication Technology,5d ago
517,Principal Data Consultant | Permanent Position | Sydney Based,Principal Data Consultant,"$170,000 - $186,000 (Incl. Super)",PRA,Sydney NSW,Information & Communication Technology,15h ago
518,This is a perfect time for a Data Engineer to  join as this large organisation  transitions to GCP Cloud Services. Permanent role at North West.,Data Engineer,NA,Talent Insights Group Pty Ltd,Sydney NSW,Information & Communication Technology,6d ago
519,"Responsible for designing, building and maintaining efficient, scalable data pipelines",Data Engineer | BIG W,NA,Big W,Bella Vista,Information & Communication Technology,7d ago
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
